datatype,_clipped,_debug,_green_area_m2,_green_percentage,_green_pixels,_is_green_roof,_ndvi_avg,_ndvi_max,_ndvi_min,_pixel_area_m2,_total_pixels,geotiff_byte_order,geotiff_compression_method,geotiff_interleaving_type
Generic,yes,"Step 1: Get raster | 212x198, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (212, 198) | Range: -0.235 to 65536.000 | Valid pixels: 19577 | NDVI avg: 0.019 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0.03,0.02,3,No,0.0191,0.2634,-0.2347,0.01,19577,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 174x168, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (174, 168) | Range: -0.216 to 65536.000 | Valid pixels: 15974 | NDVI avg: 0.139 | Green: 0.6% (1.0 m2) | Result: No | SUCCESS",0.97,0.61,97,No,0.1385,0.4381,-0.2157,0.01,15974,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 144x146, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (144, 146) | Range: -0.467 to 65536.000 | Valid pixels: 11151 | NDVI avg: 0.115 | Green: 1.1% (1.2 m2) | Result: No | SUCCESS",1.25,1.12,125,No,0.1154,0.3895,-0.4673,0.01,11151,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 167x172, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (167, 172) | Range: -0.305 to 65536.000 | Valid pixels: 15481 | NDVI avg: 0.087 | Green: 1.3% (2.0 m2) | Result: No | SUCCESS",1.98,1.28,198,No,0.0873,0.5875,-0.3048,0.01,15481,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 356x465, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (356, 465) | Range: -0.289 to 65536.000 | Valid pixels: 44021 | NDVI avg: 0.150 | Green: 15.9% (70.1 m2) | Result: No | SUCCESS",70.13,15.93,7013,No,0.1495,0.6498,-0.2887,0.01,44021,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 206x253, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (206, 253) | Range: -0.257 to 65536.000 | Valid pixels: 27550 | NDVI avg: 0.096 | Green: 3.0% (8.4 m2) | Result: No | SUCCESS",8.38,3.04,838,No,0.0956,0.5913,-0.2565,0.01,27550,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 57x66, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (57, 66) | Range: -0.474 to 65536.000 | Valid pixels: 1889 | NDVI avg: 0.038 | Green: 0.7% (0.1 m2) | Result: No | SUCCESS",0.14,0.74,14,No,0.038,0.3906,-0.4741,0.01,1889,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 175x133, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (175, 133) | Range: -0.436 to 65536.000 | Valid pixels: 9699 | NDVI avg: 0.026 | Green: 0.4% (0.3 m2) | Result: No | SUCCESS",0.35,0.36,35,No,0.026,0.4482,-0.4363,0.01,9699,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 708x927, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (708, 927) | Range: -0.424 to 65536.000 | Valid pixels: 232849 | NDVI avg: 0.010 | Green: 1.0% (24.4 m2) | Result: No | SUCCESS",24.35,1.05,2435,No,0.0104,0.7194,-0.4236,0.01,232849,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 143x281, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (143, 281) | Range: -0.310 to 65536.000 | Valid pixels: 31088 | NDVI avg: 0.123 | Green: 31.2% (97.0 m2) | Result: No | SUCCESS",97.01,31.2,9701,No,0.123,0.6608,-0.3097,0.01,31088,LSB,lzw,BIP
